,18어게인,365:운명을거스르는1년,60일지정생존자,D.P.,검색어를입력하세요WWW,무브투헤븐:나는유품정리사입니다,보좌관:세상을움직이는사람들,갯마을차차차,괴물,구경이,그녀의사생활,그림자미녀,기름진멜로,김비서가왜그럴까,나빌레라,나의아저씨,낭만닥터김사부,내뒤에테리우스,녹두꽃,단하나의사랑,대박부동산,도시남녀의사랑법,동백꽃필무렵,라이브,라이프온마스,라켓소년단,런온,로맨스는별책부록,로스쿨,마녀식당으로오세요,마우스,멜로가체질,모범택시,미스터션샤인,미스티,미치지않고서야,백일의낭군님,본대로말하라,부부의세계,뷰티인사이드,비밀의숲,사내맞선,사랑의불시착,사의찬미,사이코지만괜찮아,서른아홉,서른이지만열일곱입니다,세빛남고학생회,소년심판,손theguest,술꾼도시여자들,스물다섯스물하나,스카이캐슬,스토브리그,슬기로운의사생활,시를잊은그대에게,시맨틱에러,아는와이프,악의꽃,악의마음을읽는자들,안녕나야,어느날우리집현관으로멸망이들어왔다,어쩌다발견한하루,오월의청춘,오징어게임,옷소매붉은끝동,왓쳐,왕이된남자,우리들의블루스,우수무당가두심,우아한친구들,원더우먼,월간집,유미의세포들,으라차차와이키키,의사요한,이구역의미친X,이리와안아줘,인간수업,자백,작은신의아이들,지옥,카이로스,킹덤,태종이방원,트랩,트레이서,하늘에서내리는일억개의별,하이에나,한번다녀왔습니다,해피니스,호텔델루나
0,character heartwarming,officer cuteness,awkward romance,fun pain,romance irritating,asperger's character,judgemental politician,love actor,viewer suspense,disgust rationalisation,love acting,character creepy,woo romance,suspense story,happiness sadness,love betrayal,hospital rivalry,mind romance,story romance,weird angel,pain agony,lovestruck acting,love acting,character importance,thriller suspense,badminton fun,romance boring,romance heartwarming,fun law,witch wish,killer coincidence,jung's brother,love taxi,happiness tragedy,cast superb,favorite plot,love acting,wit villain,cheat wife,power actress,stranger misogyny,cringe acting,love cast,tragedy cheating,character heartache,friend actress,character charm,shyness insecurity,acting lot,supernatural,girl friendship,relationship cringe,character manipulative,baseball problem,love writer,lot comedy,cuteness overload,heart cuteness,suspense thrill,korean mindhunter,fun character,disappoint story,romance acting,love actor,character favorite,politics romance,suspense plot,romance lot,cast vibe,fantasy,jealousy,romance thriller,jung favourite,romance lot,love comedy,love doctor,rewatch,killer brother,thriller twist,perfection actress,mystery plot,horror demon,romance vibe,palace intrigue,animal cruelty,thriller,villain backstories,thriller mystery,romance lot,fun family,happiness thriller,love acting
1,relationship misunderstanding,tae sister,survivor day,actress jeon,sunbae life,parent love,romance story,death grandma,sister's body,gay energy,birth nonsense,eps day,gangster cook,min chemistry,taemin,grocery,rerun,sandwich,brother hyun,ballet bottom,actress jang,girl month,son dam,chemistry wook,brother min,scriptwriter,development chemistry,shame dan,sister people,abuse tension,surgery writer,idiocy heartfelt,heist,tae actress,abortion,negativity workforce,shopping king,teen college,audacity taeoh,dream priest,television teamwork,ceo girl,accident korea,bgm album,kim moon,execution lot,cry laugh,interview endgame,end rape,character development,heist,fullhouse manhwa,nature parent,passion leadership,marathoner,nurse trainee,director's cut,husband divorce,'mother' flower,day crime,truck doom,actress chemistry,mind day,tae girl,runner hunger,i'm rewatch,kdramas,saeguk king,daughter golf,kim sae,tae hwan,snippet,cast ending,day cell,rewatch,bait viewer,comedy illness,chatterbox girl,girl parent,war son,byul popeye,jungmin's,tantrum home,dyingtobeinkorea zombie,entertainment http,medicine,tax office,one kimura,hyena giriboy,yongju market,mother food,breakfast
2,prison playbook,foreshadowing pen's,hee actor,chemistry actor,jung actor,cage fighting,corruption politics,thought rice,soul mechanic,mouse chase,band night,relationship mom,evil mother,trailer judge,dancer lot,drinking dialogue,greedy,actor spy,rougthless politician,character budget,business ghost,relationship fear,plot lol,'guys' dream,victim manicure,family dynamic,filter people,bookworm book,doctor exam,hyun actor,girl family,character problem,story vigilante,butcher,wook's father,politics story,king louie,fight police,train wreck,com dramafoxblog,repeat essay,restaurant kiss,wife antagonist,typewriter,love chemistry,trailer netflix's,development story,taedaon taeshinwoo,lesson backstories,bos fight,lot drinking,heedo's daughter,sky university,prison playbook,scare ikjun,heart sore,jaeyoung restaurant,management fault,lawless lawyer,lullaby,wedding day,plot goblin,webtoon bittersweet,hymn death,capitalism illusion,sad actor,police corruption,assassin,bullying,teenager master,owl thanks,daughter arsonist,struggle lesson,devil judge,fortune mother,sung's acting,romance pacing,preference melodrama,class acting,plot twist,dramamilk com,expectation brainwash,kairos plot,actress bae,death vain,sung,people tracer,literature theater,jerk career,miscarriage fault,doctor yeon,kdramas ghost
3,story chemistry,killing trophy,lazy,bullying soldier,reservation honest,memory creepy,kdramas,shopaholic donator,buzzkpop com,actress character,police mother,surgery,writer incarnate,healer game,dad plot,job sun,pacing lot,family comedy,watching,kim dan's,chemistry cast,domesticviolence ptsd,boyfriend wife,spotify com,hospital,i'm rewatch,reality film,chemistry brother,mastermind murder,food vibe,lack empathy,girl friendship,hacker girl,goosebump,business law,choi miss,day burn,herring,calm storm,plot twist,perfect policewoman,grandfather blind,philosopher tomato,lack chemistry,prison playbook,chemistry son,bus accident,chemistry butterfly,kim hyesoo,actor lot,kdramas,endgame writer,money flower,imdb,spam bot,woo alligator,manhwa novel,actor korea,hospital accident,handsome actor,drama's,soul actor,others manhwa,storytelling,game anxiety,palace ritual,acting class,genius,romance couple,chemistry character,shower,surgery face,cutie pie,yumi's life,tiring development,badass bunny,management paranoia,home dog,eat dog,flower evil,dyingtobeinkorea,politics abortion,logic,physician father,i'm dragon,ceo hong,mbc,pasta meat,actress kim,character chemistry,reaction pandemic,hotel eternity
4,eighteen tearjerker,chemistry thriller,people politics,midnight runner,pianist girl,lee jehoon,tae jun,hypocrisy,one fishing,fun crime,gay baker,sleepless,horse cancer,brother girl,manga butterfly,girl hardship,doldam crew,nobody director,teacher,tragedy tragedy,rest plot,jaewon alcoholism,mind mom,pacing,love jung,share indonesia,prison playbook,break motherhood,chill goosebump,life lesson,prey vlogger,drunk,stunt interview,screenwriter couple,misty evil,applause job,seo's brother,manga murder,prison playbook,intense boring,simok yeojin's,zombie crime,businessinsider tvns,rewatch,ji's acting,heartache,chemistry music,feeling home,ruling juvenile,yang finale,comedy amount,color theory,homeroom,script draggy,kingdom lockdown,income dream,chemistry butterfly,'destiny',trailer mind,nonfiction,actor chemistry,family watching,brother fight,selfish,film parasite,story joseon,skill,story acting,camellia bloom,i'm eps,mom's death,intelligence,writer twist,hyun acting,lot bakery,death pain,pickpocket,parent lack,bullying sex,ho's chemistry,lot people,father destiny,effect thriller,day break,politics,psychopath,cliche politician,fan ending,character morality,acting actor,theyre zombie,chemistry pain
5,pandemic,quackery plot,production cinematography,army deserter,spotify com,girl butterfly,coherent party,july,supermarket owner,cup tea,life romcom,screenwriter,trust commenters,pollen allergy,nature ups,people wiretapping,felt romance,tae agent,thief,overdone,yugami blood,flashback beach,bloom blend,mother alcoholic,prison playbook,student baseball,pacing storytelling,eun character,script storyline,chemistry character,train thought,comedy challenge,revenge romance,turbulent history,people dream,insanity challenge,music rewatch,couple revelation,dad lot,love chemistry,prison playbook,scissors game,yawn,script love,photo shoot,jeon haircut,cinderella knight,fond soundtrack,binge day,chemistry love,slice life,evolution character,badass bunny,cinematography shot,dinner mother,kim dae,fight minute,lot cast,chemistry actor,others mind,development lukewarm,angel death,stage lot,student law,twist finale,power revenge,boyfriend,paranoid king,director writer,shamanism,dramaboy,shitty law,rewatch,worry hunger,drunk,writer problem,girl dog,moon lover,thought day,hyun heart,grandmother,magic,staff cast,prison playbook,stunt injury,taste,eps,incest korean,badass chemistry,hee writer,detective baseball,thought story
6,family sacrifice,actor actress,antagonist,spotify com,story development,development story,power struggle,wedding dress,cop murder,student killer,remorse bullcrap,online life,payback cutest,lack plot,experience grandma,value people,mother,mix thriller,politician intensity,aunt cousin,dramacool,medicalnewstoday com,life lesson,soundtrack romance,dream hallucination,lover korean,politics family,villain refreshing,drama's ost,plot gist,character chemistry,boyfriend restaurant,superhero,experience cinematography,studio wife,dinner,wonder emptiness,moonoverstar,shy drama's,rewatch,ordeal evidence,breakup trope,life lesson,pressure society,butterfly killer,thirty subtitleshttps,hae sun,destiny,fan law,filming fear,sickness health,problem goblin,romance romance,league viewer,people plot,relationship romance,stalking,fraud money,cake acting,procedure profiling,story romance,wrenching romance,twist dan,month romance,senseless violence,machine translation,league watcher,barren seon,jung eun,vampire slayer,revenge jung,everytime,housing crisis,characters' thought,plot twist,vampire detective,covenience store,tension suspense,lawless lawyer,rest cast,rest,nature event,wife bitch,cinematography acting,badass bunny,trap,luck,jin forgiving,drunk driving,job mom,cure blood,sister sister
