title,Topic0,Topic1,Topic2,Topic3
악의마음을읽는자들,0.1771252602338791,0.20607690513134003,0.30946028232574463,0.30733755230903625
라이프온마스,0.17319892346858978,0.26327839493751526,0.24722866714000702,0.31629398465156555
옷소매붉은끝동,0.1804666668176651,0.28331536054611206,0.22574782371520996,0.3104701638221741
이구역의미친X,0.18183709681034088,0.24585701525211334,0.21331529319286346,0.3589906096458435
어느날우리집현관으로멸망이들어왔다,0.1756211370229721,0.27382606267929077,0.20635618269443512,0.3441966474056244
스물다섯스물하나,0.22046130895614624,0.2912774085998535,0.19393186271190643,0.2943294644355774
무브투헤븐:나는유품정리사입니다,0.19847816228866577,0.35519182682037354,0.20568054914474487,0.24064946174621582
호텔델루나,0.202814981341362,0.2738455832004547,0.23566357791423798,0.2876758873462677
하늘에서내리는일억개의별,0.19068054854869843,0.2734971046447754,0.2283201515674591,0.30750221014022827
기름진멜로,0.18666480481624603,0.2580031156539917,0.2675488591194153,0.2877831757068634
악의꽃,0.1909724622964859,0.25790926814079285,0.23351430892944336,0.3176039159297943
서른이지만열일곱입니다,0.19339929521083832,0.27037304639816284,0.23286670446395874,0.3033609092235565
킹덤,0.17323283851146698,0.2419804334640503,0.28783535957336426,0.2969513535499573
작은신의아이들,0.2098512053489685,0.2442922592163086,0.2562997341156006,0.2895568311214447
검색어를입력하세요WWW,0.17840392887592316,0.2524673342704773,0.25532814860343933,0.313800573348999
술꾼도시여자들,0.14813722670078278,0.3188762664794922,0.20601944625377655,0.3269670605659485
한번다녀왔습니다,0.2545113265514374,0.2674822211265564,0.20774751901626587,0.27025896310806274
서른아홉,0.19031499326229095,0.33764705061912537,0.20386886596679688,0.2681690752506256
오월의청춘,0.21219220757484436,0.3082675337791443,0.19136163592338562,0.28817862272262573
트랩,0.20157039165496826,0.20270736515522003,0.2864399552345276,0.3092823028564453
왓쳐,0.19982796907424927,0.26666975021362305,0.22404542565345764,0.30945685505867004
아는와이프,0.1573430895805359,0.37753012776374817,0.1968446969985962,0.26828208565711975
자백,0.17935524880886078,0.25290924310684204,0.2503124475479126,0.317423015832901
60일지정생존자,0.2017994523048401,0.20070655643939972,0.24177056550979614,0.35572338104248047
시맨틱에러,0.21664798259735107,0.2705894708633423,0.2250232994556427,0.28773924708366394
녹두꽃,0.19241608679294586,0.23561204969882965,0.27190694212913513,0.30006495118141174
백일의낭군님,0.1768791824579239,0.2848648726940155,0.25024956464767456,0.28800639510154724
괴물,0.2504563331604004,0.2121567577123642,0.23688904941082,0.3004978895187378
태종이방원,0.17190712690353394,0.23219235241413116,0.21954409778118134,0.37635642290115356
사이코지만괜찮아,0.2250692993402481,0.24992768466472626,0.22654251754283905,0.2984604835510254
런온,0.2038070261478424,0.2693823575973511,0.2341451644897461,0.2926654815673828
365:운명을거스르는1년,0.19280023872852325,0.24993297457695007,0.27015769481658936,0.28710904717445374
시를잊은그대에게,0.2390325367450714,0.24519652128219604,0.17858551442623138,0.33718541264533997
인간수업,0.2432069629430771,0.26179608702659607,0.21467702090740204,0.2803199291229248
으라차차와이키키,0.21301133930683136,0.23731034994125366,0.24262692034244537,0.3070513904094696
우수무당가두심,0.15990667045116425,0.23214098811149597,0.2338770031929016,0.3740752935409546
트레이서,0.12345700711011887,0.23377926647663116,0.3631903827190399,0.27957335114479065
사내맞선,0.19566568732261658,0.25022274255752563,0.23653942346572876,0.31757214665412903
구경이,0.19192887842655182,0.23191381990909576,0.2736820876598358,0.3024752140045166
어쩌다발견한하루,0.27460432052612305,0.27124708890914917,0.16515588760375977,0.288992702960968
김비서가왜그럴까,0.21876539289951324,0.27568405866622925,0.21180252730846405,0.29374802112579346
나의아저씨,0.18672038614749908,0.31047117710113525,0.2259703427553177,0.27683812379837036
카이로스,0.1903594732284546,0.2873625159263611,0.26359322667121887,0.25868481397628784
18어게인,0.22438764572143555,0.27217674255371094,0.22031554579734802,0.2831200659275055
D.P.,0.15801352262496948,0.23057252168655396,0.23510299623012543,0.37631091475486755
로스쿨,0.24051547050476074,0.24245496094226837,0.21398478746414185,0.30304476618766785
대박부동산,0.22493188083171844,0.1954963505268097,0.2335839718580246,0.34598779678344727
사랑의불시착,0.18734824657440186,0.2835104465484619,0.2327907532453537,0.29635050892829895
스토브리그,0.21311864256858826,0.23831523954868317,0.20369882881641388,0.3448672890663147
단하나의사랑,0.19930042326450348,0.2775760293006897,0.20661264657974243,0.3165108561515808
안녕나야,0.21517197787761688,0.2745058238506317,0.20954808592796326,0.30077415704727173
그림자미녀,0.2169681340456009,0.30079588294029236,0.2306038737297058,0.25163212418556213
도시남녀의사랑법,0.18025103211402893,0.24782179296016693,0.22925116121768951,0.342676043510437
본대로말하라,0.18403427302837372,0.2005271464586258,0.2979491353034973,0.3174894154071808
내뒤에테리우스,0.18693658709526062,0.20388901233673096,0.3262978196144104,0.28287655115127563
월간집,0.1997876614332199,0.2269825041294098,0.22514843940734863,0.34808140993118286
비밀의숲,0.18655729293823242,0.2653724253177643,0.24635687470436096,0.3017134368419647
나빌레라,0.215544193983078,0.3575821816921234,0.16822205483913422,0.25865161418914795
슬기로운의사생활,0.19005611538887024,0.2710002362728119,0.2187136709690094,0.3202299475669861
스카이캐슬,0.19455626606941223,0.27356767654418945,0.21759192645549774,0.31428414583206177
하이에나,0.22213904559612274,0.21070601046085358,0.24121853709220886,0.3259364068508148
라이브,0.20982863008975983,0.26670244336128235,0.23756857216358185,0.28590038418769836
갯마을차차차,0.18078723549842834,0.2718024253845215,0.22170813381671906,0.3257021903991699
소년심판,0.20331919193267822,0.2814996838569641,0.23240531980991364,0.2827758491039276
그녀의사생활,0.20455937087535858,0.24148553609848022,0.24030299484729767,0.3136520981788635
손theguest,0.18818098306655884,0.26741263270378113,0.2194174826145172,0.3249889016151428
세빛남고학생회,0.20991230010986328,0.26085174083709717,0.1927381455898285,0.33649778366088867
오징어게임,0.17615635693073273,0.31956377625465393,0.2410467267036438,0.26323315501213074
원더우먼,0.22108390927314758,0.25536537170410156,0.23643721640110016,0.2871135473251343
우아한친구들,0.14643044769763947,0.2741120755672455,0.19245652854442596,0.3870009481906891
낭만닥터김사부,0.23986206948757172,0.2146664559841156,0.21666860580444336,0.32880285382270813
마우스,0.2915772795677185,0.23684445023536682,0.2404758483171463,0.23110242187976837
지옥,0.15753084421157837,0.2790921926498413,0.25860002636909485,0.3047769367694855
왕이된남자,0.20238351821899414,0.21360062062740326,0.2629958689212799,0.3210200071334839
라켓소년단,0.2451237440109253,0.26053398847579956,0.2111988365650177,0.28314340114593506
유미의세포들,0.17761823534965515,0.376232773065567,0.1612042486667633,0.2849447429180145
부부의세계,0.19159729778766632,0.3085015118122101,0.2003960907459259,0.2995050847530365
로맨스는별책부록,0.17959943413734436,0.28567826747894287,0.23107179999351501,0.30365046858787537
미스티,0.17271344363689423,0.2659164071083069,0.22500348091125488,0.3363666236400604
미치지않고서야,0.2339937388896942,0.20778143405914307,0.25663408637046814,0.30159077048301697
마녀식당으로오세요,0.20041176676750183,0.2712099850177765,0.24338564276695251,0.28499263525009155
미스터션샤인,0.19448725879192352,0.2679315209388733,0.27977487444877625,0.25780633091926575
모범택시,0.20210981369018555,0.28765833377838135,0.22051464021205902,0.28971725702285767
사의찬미,0.13504286110401154,0.4079701602458954,0.209450826048851,0.24753612279891968
멜로가체질,0.17975178360939026,0.2926439642906189,0.21200411021709442,0.31560012698173523
이리와안아줘,0.19764555990695953,0.25468072295188904,0.23581291735172272,0.3118607699871063
보좌관:세상을움직이는사람들,0.24448320269584656,0.23279064893722534,0.2737884223461151,0.2489376962184906
뷰티인사이드,0.20184621214866638,0.25101616978645325,0.25273397564888,0.29440364241600037
우리들의블루스,0.20461755990982056,0.3186788558959961,0.21834085881710052,0.25836271047592163
해피니스,0.21278312802314758,0.20545154809951782,0.2421826273202896,0.3395826816558838
의사요한,0.25355860590934753,0.2584186792373657,0.19182175397872925,0.2962009906768799
동백꽃필무렵,0.22342227399349213,0.28343936800956726,0.19782263040542603,0.2953157424926758
